"Postcode","Total","Males","Females","Occupied_Households"
"B44 0ST",125,54,71,47
"B44 0SU",37,14,23,14
"B44 0SW",36,13,23,12
"B44 0SX",27,11,16,11
"B44 0SY",83,39,44,28
"B44 0TA",148,74,74,50
"B44 0TB",69,27,42,26
"B44 0TD",67,31,36,32
"B44 0TE",67,35,32,30
"B44 0TF",58,25,33,21
"B44 0TG",65,30,35,21
"B44 0TH",52,28,24,21
"B44 0TJ",82,36,46,26
"B44 0TL",133,68,65,43
"B44 0TN",123,56,67,41
"B44 0TP",23,10,13,7
"B44 0TR",61,34,27,20
"B44 0TS",28,13,15,11
"B44 0TT",17,8,9,6
"B44 0TU",33,19,14,14
"B44 0TX",31,16,15,12
"B44 0TY",32,18,14,15
"B44 0UA",19,11,8,7
"B44 0UB",60,34,26,24
"B44 0UD",93,47,46,33
"B44 0UE",21,9,12,8
"B44 0UG",57,26,31,23
"B44 0UH",25,12,13,13
"B44 0UJ",72,38,34,24
"B44 0UL",172,87,85,72
"B44 0UP",112,52,60,40
"B44 0UR",88,45,43,32
"B44 0US",16,7,9,5
"B44 0UT",32,12,20,13
"B44 0UU",99,51,48,40
"B44 0UX",92,46,46,39
"B44 0UY",51,25,26,23
"B44 0XE",93,40,53,53
"B44 0XF",69,33,36,34
"B44 8AA",3,3,0,1
"B44 8AB",54,23,31,17
"B44 8AD",66,31,35,28
"B44 8AE",74,38,36,31
"B44 8AG",82,45,37,29
"B44 8AH",49,21,28,20
"B44 8AJ",78,29,49,27
"B44 8AL",84,38,46,30
"B44 8AN",85,37,48,33
"B44 8AP",40,17,23,14
"B44 8AR",78,41,37,32
"B44 8AS",88,49,39,32
"B44 8AT",77,39,38,31
"B44 8AU",89,45,44,32
"B44 8AW",84,42,42,30
"B44 8AX",49,21,28,23
"B44 8AY",64,32,32,25
"B44 8BA",39,22,17,23
"B44 8BB",42,21,21,31
"B44 8BG",81,29,52,0
"B44 8BH",49,24,25,17
"B44 8BL",44,19,25,17
"B44 8BN",62,28,34,25
"B44 8BP",10,6,4,6
"B44 8BW",3,3,0,0
"B44 8DA",45,25,20,24
"B44 8DB",30,15,15,12
"B44 8DD",59,32,27,24
"B44 8DE",20,9,11,11
"B44 8DG",34,17,17,14
"B44 8DH",36,15,21,11
"B44 8DJ",81,41,40,33
"B44 8DL",40,19,21,11
"B44 8DN",22,10,12,10
"B44 8DP",29,13,16,14
"B44 8DW",13,7,6,6
"B44 8EA",72,29,43,31
"B44 8EB",8,3,5,5
"B44 8ED",44,26,18,21
"B44 8EE",60,33,27,26
"B44 8EH",37,17,20,16
"B44 8EJ",52,28,24,19
"B44 8EL",66,32,34,26
"B44 8EN",61,25,36,25
"B44 8EP",79,39,40,31
"B44 8EQ",22,10,12,8
"B44 8ER",82,39,43,34
"B44 8ES",101,50,51,39
"B44 8ET",94,44,50,33
"B44 8EU",58,28,30,21
"B44 8EX",85,46,39,33
"B44 8EY",32,19,13,12
"B44 8HA",56,28,28,24
"B44 8HB",71,33,38,30
"B44 8HD",6,3,3,3
"B44 8HE",44,22,22,18
"B44 8HF",69,35,34,24
"B44 8HG",68,34,34,35
"B44 8HH",35,17,18,13
"B44 8HJ",23,11,12,15
"B44 8HL",10,7,3,4
"B44 8HN",25,13,12,8
"B44 8HP",99,48,51,36
"B44 8HQ",40,18,22,16
"B44 8HR",120,57,63,41
"B44 8HS",16,7,9,5
"B44 8HT",48,20,28,17
"B44 8HU",82,41,41,35
"B44 8HX",128,58,70,48
"B44 8HY",61,27,34,26
"B44 8JA",80,43,37,37
"B44 8JB",116,53,63,47
"B44 8JD",46,22,24,18
"B44 8JE",157,79,78,65
"B44 8JG",51,27,24,19
"B44 8JH",38,16,22,13
"B44 8JJ",55,31,24,19
"B44 8JL",47,23,24,14
"B44 8JP",58,29,29,28
"B44 8JQ",43,21,22,16
"B44 8JR",59,35,24,24
"B44 8JS",35,19,16,12
"B44 8JT",90,47,43,41
"B44 8JU",51,26,25,18
"B44 8JX",75,41,34,29
"B44 8JY",61,30,31,27
"B44 8LA",25,11,14,12
"B44 8LB",52,21,31,21
"B44 8LD",8,4,4,5
"B44 8LF",112,61,51,53
"B44 8LG",59,29,30,27
"B44 8LH",50,23,27,25
"B44 8LJ",42,23,19,22
"B44 8LL",50,28,22,24
"B44 8LN",53,27,26,25
"B44 8LP",62,33,29,27
"B44 8LQ",54,29,25,30
"B44 8LR",12,10,2,10
"B44 8LW",70,39,31,29
"B44 8LX",68,27,41,29
"B44 8LY",39,20,19,17
"B44 8NA",28,14,14,15
"B44 8NB",94,45,49,41
"B44 8ND",28,13,15,10
"B44 8NG",74,37,37,29
"B44 8NN",110,57,53,38
"B44 8NP",79,38,41,31
"B44 8NQ",4,1,3,2
"B44 8NR",19,10,9,7
"B44 8NS",1,1,0,1
"B44 8NT",42,19,23,26
"B44 8NX",129,59,70,51
"B44 8NY",3,1,2,2
"B44 8PE",20,12,8,14
"B44 8PG",20,8,12,18
"B44 8PL",38,18,20,13
"B44 8PN",69,36,33,30
"B44 8PP",25,16,9,15
"B44 8PQ",22,9,13,20
"B44 8PU",49,27,22,19
"B44 8PX",16,8,8,8
"B44 8QD",45,23,22,14
"B44 8QE",31,17,14,13
"B44 8QG",46,19,27,12
"B44 8QH",67,30,37,25
"B44 8QJ",73,37,36,32
"B44 8QL",31,13,18,12
"B44 8QP",37,20,17,17
"B44 8QR",52,25,27,22
"B44 8QS",49,19,30,14
"B44 8QT",61,28,33,26
"B44 8QW",37,13,24,16
"B44 8RA",2,2,0,2
"B44 8RB",88,50,38,35
"B44 8RD",29,12,17,11
"B44 8RE",72,34,38,29
"B44 8RG",42,17,25,20
"B44 8RH",38,19,19,15
"B44 8RJ",39,20,19,19
"B44 8RL",47,22,25,19
"B44 8RN",89,39,50,33
"B44 8RP",92,40,52,42
"B44 8RR",71,28,43,31
"B44 8RS",30,17,13,13
"B44 8RT",60,32,28,27
"B44 8RU",36,22,14,12
"B44 8RW",36,17,19,14
"B44 8RX",57,29,28,24
"B44 8RY",38,14,24,15
"B44 8SA",37,19,18,17
"B44 8SB",13,7,6,7
"B44 8SD",121,55,66,48
"B44 8SE",102,52,50,44
"B44 8SF",32,17,15,11
"B44 8SG",67,32,35,26
"B44 8SN",25,14,11,9
"B44 8SP",17,11,6,9
"B44 8SR",42,21,21,21
"B44 8SU",17,11,6,7
"B44 8SW",40,22,18,20
"B44 8SX",13,5,8,5
"B44 8SY",106,50,56,47
"B44 8SZ",32,16,16,14
"B44 8TA",9,4,5,5
"B44 8TD",23,13,10,10
"B44 8TE",118,56,62,43
"B44 8TG",70,33,37,27
"B44 8TH",161,84,77,62
"B44 8TJ",98,45,53,40
"B44 8TP",56,31,25,23
"B44 8TR",24,11,13,7
"B44 8TS",120,55,65,51
"B44 8TT",29,12,17,12
"B44 8TU",116,51,65,53
"B44 8TX",53,24,29,20
"B44 8TY",42,18,24,15
"B44 8UA",89,45,44,31
"B44 8UB",33,17,16,15
"B44 8UD",54,28,26,18
"B44 8UE",47,23,24,19
"B44 8UG",28,16,12,12
"B44 8UH",77,35,42,34
"B44 8UJ",61,31,30,30
"B44 8UL",108,54,54,51
"B44 8UN",78,35,43,34
"B44 8UQ",69,36,33,33
"B44 8UW",30,13,17,14
"B44 9AA",47,15,32,20
"B44 9AB",113,50,63,59
"B44 9AD",36,16,20,15
"B44 9AE",88,29,59,58
"B44 9AG",48,13,35,39
"B44 9AH",40,20,20,16
"B44 9AJ",78,40,38,31
"B44 9AL",172,78,94,63
"B44 9AN",150,71,79,55
"B44 9AP",70,23,47,25
"B44 9AR",70,32,38,29
"B44 9AS",68,31,37,26
"B44 9AT",62,26,36,32
"B44 9AX",17,8,9,10
"B44 9BA",27,14,13,11
"B44 9BB",157,77,80,52
"B44 9BD",56,27,29,24
"B44 9BE",42,21,21,20
"B44 9BG",100,46,54,43
"B44 9BH",174,83,91,61
"B44 9BJ",12,3,9,5
"B44 9BL",168,81,87,64
"B44 9BN",144,73,71,54
"B44 9BT",62,25,37,29
"B44 9BU",67,32,35,27
"B44 9BX",26,14,12,10
"B44 9BY",88,39,49,37
"B44 9DA",83,40,43,37
"B44 9DB",103,46,57,47
"B44 9DD",118,56,62,46
"B44 9DE",116,49,67,50
"B44 9DG",45,20,25,18
"B44 9DH",42,19,23,25
"B44 9DJ",65,30,35,33
"B44 9DL",69,31,38,33
"B44 9DN",93,45,48,35
"B44 9DP",78,39,39,30
"B44 9DR",50,22,28,24
"B44 9DT",27,12,15,10
"B44 9DU",29,14,15,15
"B44 9DW",28,13,15,10
"B44 9DZ",30,11,19,22
"B44 9EA",16,8,8,11
"B44 9EB",76,30,46,35
"B44 9ED",61,28,33,22
"B44 9EL",128,64,64,52
"B44 9EN",95,48,47,40
"B44 9EP",62,33,29,24
"B44 9HA",95,46,49,32
"B44 9HB",32,15,17,10
"B44 9HD",7,3,4,1
"B44 9HG",134,60,74,47
"B44 9HL",59,26,33,26
"B44 9HN",88,38,50,36
"B44 9HP",67,35,32,36
"B44 9HR",66,31,35,33
"B44 9HW",51,25,26,19
"B44 9HX",75,33,42,28
"B44 9HY",27,14,13,12
"B44 9JA",47,22,25,21
"B44 9JB",163,84,79,67
"B44 9JD",4,2,2,3
"B44 9JE",72,38,34,23
"B44 9JG",43,21,22,18
"B44 9JH",19,11,8,7
"B44 9JL",73,37,36,34
"B44 9JN",45,18,27,18
"B44 9JU",32,18,14,11
"B44 9JW",35,17,18,13
"B44 9JX",50,26,24,21
"B44 9JY",40,18,22,15
"B44 9LA",77,34,43,26
"B44 9LB",53,26,27,19
"B44 9LD",76,42,34,31
"B44 9LE",70,32,38,26
"B44 9LG",47,24,23,17
"B44 9LH",34,13,21,13
"B44 9LJ",30,18,12,13
"B44 9LL",52,23,29,18
"B44 9LN",122,53,69,43
"B44 9LP",27,10,17,13
"B44 9LQ",30,10,20,12
"B44 9LR",35,15,20,13
"B44 9LS",69,30,39,28
"B44 9LT",78,36,42,25
"B44 9LU",49,22,27,23
"B44 9LX",64,31,33,26
"B44 9LY",49,22,27,16
"B44 9NA",16,10,6,8
"B44 9NB",86,39,47,34
"B44 9ND",15,7,8,6
"B44 9NE",17,8,9,6
"B44 9NG",63,29,34,24
"B44 9NH",38,17,21,16
"B44 9NP",20,10,10,6
"B44 9NR",26,11,15,8
"B44 9NS",34,20,14,13
"B44 9NT",15,6,9,6
"B44 9NU",134,65,69,46
"B44 9NW",41,18,23,16
"B44 9NX",109,57,52,40
"B44 9NY",94,43,51,38
"B44 9PA",97,45,52,41
"B44 9PB",35,16,19,15
"B44 9PD",35,17,18,15
"B44 9PE",49,24,25,19
"B44 9PF",21,10,11,11
"B44 9PG",25,13,12,9
"B44 9PH",22,10,12,10
"B44 9PJ",67,30,37,24
"B44 9PL",76,37,39,32
"B44 9PN",43,19,24,17
"B44 9PT",65,28,37,27
"B44 9PU",84,40,44,34
"B44 9PX",32,14,18,14
"B44 9PY",77,39,38,30
"B44 9QA",84,40,44,32
"B44 9QB",42,21,21,18
"B44 9QD",77,29,48,26
"B44 9QE",81,42,39,42
"B44 9QG",58,25,33,28
"B44 9QH",77,38,39,28
"B44 9QJ",126,56,70,53
"B44 9QL",43,22,21,16
"B44 9QN",42,20,22,17
"B44 9QP",88,38,50,34
"B44 9QR",78,38,40,28
"B44 9QS",32,17,15,13
"B44 9QT",23,10,13,11
"B44 9QU",50,29,21,19
"B44 9QX",63,22,41,25
"B44 9QY",41,21,20,12
"B44 9RA",47,20,27,24
"B44 9RH",64,31,33,28
"B44 9RJ",54,28,26,23
"B44 9RL",63,35,28,24
"B44 9RN",116,57,59,41
"B44 9RP",95,45,50,36
"B44 9RR",54,30,24,23
"B44 9RS",44,24,20,16
"B44 9RT",29,14,15,8
"B44 9SA",48,23,25,19
"B44 9SB",75,39,36,27
"B44 9SD",32,17,15,13
"B44 9SH",26,13,13,11
"B44 9SJ",105,46,59,41
"B44 9SL",46,27,19,21
"B44 9SN",79,42,37,26
"B44 9SP",93,36,57,37
"B44 9SR",70,26,44,25
"B44 9SS",24,17,7,12
"B44 9ST",12,6,6,6
"B44 9SU",3,1,2,1
"B44 9TA",5,3,2,2
"B44 9TD",135,73,62,40
"B44 9TE",17,9,8,11
"B44 9TF",50,16,34,42
"B44 9TG",70,34,36,29
"B44 9TH",62,35,27,31
"B44 9TJ",26,9,17,15
"B44 9TP",38,19,19,18
"B44 9TR",25,13,12,12
"B44 9TS",59,27,32,30
"B44 9TU",70,37,33,35
"B44 9TW",107,54,53,43
"B44 9TX",87,44,43,44
"B44 9TY",17,9,8,11
"B44 9UA",106,60,46,44
"B44 9UB",21,11,10,11
"B44 9UD",84,42,42,43
"B44 9UE",18,8,10,8
"B44 9UG",61,30,31,28
"B44 9UH",15,7,8,9
"B44 9UJ",116,53,63,51
"B44 9UL",13,6,7,9
"B44 9UP",75,36,39,34
"B44 9UQ",68,30,38,33
"B44 9UR",17,10,7,15
"B44 9US",18,8,10,10
"B44 9UT",91,42,49,36
"B44 9UU",156,72,84,60
"B44 9UW",124,58,66,54
"B44 9UX",11,6,5,5
"B44 9UY",70,35,35,31
"B44 9UZ",110,58,52,40
"B45 0AJ",2,2,0,1
"B45 0AS",2,1,1,1
"B45 0AT",7,4,3,3
"B45 0AU",4,3,1,1
"B45 0BD",103,50,53,50
"B45 0BE",126,59,67,49
"B45 0BG",102,53,49,45
"B45 0BH",80,32,48,35
"B45 0BJ",122,56,66,50
"B45 0BL",76,34,42,31
"B45 0BQ",75,36,39,38
"B45 0DA",61,30,31,28
"B45 0DB",8,2,6,5
"B45 0DD",101,44,57,47
"B45 0DE",61,30,31,24
"B45 0DF",37,20,17,21
"B45 0DG",10,6,4,7
"B45 0DH",58,32,26,32
"B45 0DJ",45,19,26,20
"B45 0DL",39,24,15,15
"B45 0DN",78,28,50,34
"B45 0DP",73,37,36,23
"B45 0DQ",62,32,30,34
"B45 0DR",103,48,55,51
"B45 0DS",127,55,72,42
"B45 0DT",68,31,37,24
"B45 0DU",7,4,3,4
"B45 0DW",13,4,9,9
"B45 0EE",143,65,78,54
"B45 0EF",5,2,3,3
"B45 0EG",117,66,51,43
"B45 0EH",186,88,98,67
"B45 0EJ",46,27,19,13
"B45 0EL",82,38,44,38
"B45 0EN",109,50,59,49
"B45 0EP",52,24,28,27
"B45 0EQ",63,31,32,20
"B45 0ER",23,13,10,14
"B45 0ES",49,27,22,23
"B45 0ET",85,41,44,38
"B45 0EU",17,6,11,7
"B45 0EW",88,38,50,39
"B45 0HA",64,33,31,28
"B45 0HB",134,70,64,62
"B45 0HD",74,38,36,34
"B45 0HE",12,4,8,5
"B45 0HF",18,5,13,13
"B45 0HG",86,40,46,38
"B45 0HH",29,10,19,15
"B45 0HJ",16,9,7,7
"B45 0HL",66,34,32,25
"B45 0HN",70,35,35,26
"B45 0HP",54,20,34,35
"B45 0HQ",41,19,22,20
"B45 0HR",20,9,11,7
"B45 0HS",100,49,51,44
"B45 0HT",141,67,74,59
"B45 0HU",32,13,19,19
"B45 0HW",64,32,32,26
"B45 0HX",1,1,0,1
"B45 0HY",63,25,38,32
"B45 0HZ",51,29,22,38
"B45 0JA",51,26,25,23
"B45 0JB",104,56,48,50
"B45 0JD",14,8,6,6
"B45 0JE",96,50,46,44
"B45 0JF",34,19,15,14
"B45 0JG",85,44,41,35
"B45 0JH",14,8,6,7
"B45 0JJ",4,3,1,3
"B45 0JL",85,37,48,45
"B45 0JN",88,43,45,39
"B45 0JP",10,5,5,8
"B45 0JQ",116,59,57,47
"B45 0JR",26,14,12,18
"B45 0JS",73,37,36,31
"B45 0JT",12,5,7,7
"B45 0JU",15,7,8,6
"B45 0JW",117,52,65,46
"B45 0JX",120,61,59,50
"B45 0JY",97,41,56,39
"B45 0JZ",168,88,80,61
"B45 0LA",30,12,18,13
"B45 0LB",67,32,35,29
"B45 0LG",98,44,54,40
"B45 0LH",95,51,44,48
"B45 0LJ",61,26,35,23
"B45 0LL",45,19,26,15
"B45 0LN",39,16,23,17
"B45 0LP",58,28,30,27
"B45 0LQ",91,44,47,38
"B45 0LR",45,20,25,22
"B45 0LS",45,25,20,24
"B45 0LT",26,9,17,13
"B45 0LU",14,6,8,12
"B45 0LW",35,15,20,15
"B45 0LX",13,7,6,8
"B45 0LY",95,45,50,42
"B45 0LZ",35,18,17,19
"B45 0NA",30,17,13,15
"B45 0NB",51,25,26,18
"B45 0ND",6,2,4,4
"B45 0NE",109,59,50,48
"B45 0NF",52,24,28,17
"B45 0NG",19,9,10,9
"B45 0NH",32,20,12,23
"B45 0NJ",96,44,52,46
"B45 0NL",57,29,28,19
"B45 0NN",38,16,22,16
"B45 0NP",130,67,63,48
"B45 0NQ",79,42,37,34
"B45 0NR",4,3,1,4
"B45 0NS",47,21,26,19
"B45 0NT",71,33,38,30
"B45 0NU",69,35,34,28
"B45 0NW",51,28,23,20
"B45 0NX",22,9,13,12
"B45 0NZ",22,13,9,18
"B45 0PB",121,54,67,44
"B45 0PD",58,26,32,22
"B45 8AA",97,51,46,34
"B45 8AB",58,31,27,30
"B45 8AD",76,38,38,33
"B45 8AE",38,18,20,17
"B45 8AH",73,43,30,30
"B45 8AJ",100,53,47,37
"B45 8AL",75,35,40,29
"B45 8AN",74,33,41,28
"B45 8AP",42,24,18,18
"B45 8AQ",55,28,27,20
"B45 8AR",60,34,26,22
"B45 8AS",45,20,25,18
"B45 8BB",55,38,17,10
"B45 8BD",1,0,1,1
"B45 8BE",12,6,6,4
"B45 8BH",13,6,7,3
"B45 8BJ",17,9,8,6
"B45 8BL",5,2,3,2
"B45 8BP",5,1,4,4
"B45 8BS",2,2,0,1
"B45 8BT",88,36,52,32
"B45 8BU",45,25,20,16
"B45 8BW",6,2,4,2
"B45 8BX",2,1,1,1
"B45 8BY",11,4,7,3
"B45 8BZ",4,2,2,1
"B45 8DA",2,1,1,1
"B45 8DB",18,9,9,5
"B45 8DH",32,16,16,21
"B45 8DL",25,13,12,8
"B45 8DP",60,32,28,23
"B45 8DR",31,14,17,13
"B45 8DT",35,15,20,22
"B45 8DU",22,13,9,10
"B45 8DX",28,15,13,14
"B45 8DY",12,6,6,10
"B45 8DZ",53,21,32,20
"B45 8EA",98,43,55,39
"B45 8EB",101,54,47,42
"B45 8ED",102,49,53,44
"B45 8EE",51,30,21,22
"B45 8EG",17,9,8,8
"B45 8EH",126,62,64,50
"B45 8EJ",120,57,63,49
"B45 8EL",62,31,31,25
"B45 8EN",29,15,14,9
"B45 8EP",26,13,13,8
"B45 8EQ",6,3,3,3
"B45 8ER",115,32,83,14
"B45 8ES",84,41,43,35
"B45 8ET",80,45,35,30
"B45 8EU",69,36,33,26
"B45 8EX",40,20,20,16
"B45 8EY",16,8,8,6
"B45 8EZ",6,3,3,4
"B45 8FD",11,6,5,3
"B45 8FX",6,3,3,3
"B45 8GA",5,3,2,3
"B45 8GB",13,7,6,5
"B45 8GD",13,7,6,7
"B45 8GG",21,12,9,5
"B45 8GH",24,11,13,13
"B45 8HA",56,29,27,22
"B45 8HB",40,19,21,16
"B45 8HD",18,7,11,8
"B45 8HE",99,49,50,41
"B45 8HF",25,12,13,9
"B45 8HG",4,2,2,2
"B45 8HH",6,3,3,2
"B45 8HJ",8,2,6,3
"B45 8HL",55,26,29,20
"B45 8HN",4,2,2,3
"B45 8HP",12,6,6,4
"B45 8HQ",4,2,2,2
"B45 8HR",22,11,11,7
"B45 8HS",51,27,24,25
"B45 8HT",36,16,20,12
"B45 8HU",16,7,9,7
"B45 8HW",4,2,2,2
"B45 8HX",35,21,14,13
"B45 8HY",27,17,10,10
"B45 8HZ",23,9,14,8
"B45 8JA",44,23,21,15
"B45 8JB",22,12,10,8
"B45 8JD",17,9,8,6
"B45 8JE",51,25,26,19
"B45 8JF",41,18,23,14
"B45 8JG",7,4,3,2
"B45 8JH",5,2,3,2
"B45 8JJ",32,14,18,12
"B45 8JL",27,12,15,10
"B45 8JN",10,5,5,4
"B45 8JP",4,3,1,1
"B45 8JR",18,10,8,6
"B45 8JS",16,8,8,11
"B45 8JT",17,9,8,6
"B45 8JU",18,6,12,11
"B45 8JW",32,15,17,9
"B45 8JX",42,18,24,16
"B45 8JY",28,14,14,11
"B45 8JZ",11,6,5,4
"B45 8LA",40,17,23,18
"B45 8LB",15,8,7,8
"B45 8LD",9,4,5,4
"B45 8LE",14,8,6,8
"B45 8LF",18,10,8,8
"B45 8LG",67,29,38,24
"B45 8LH",15,9,6,8
"B45 8LJ",31,13,18,12
"B45 8LL",36,8,28,4
"B45 8LN",20,8,12,6
"B45 8LP",19,10,9,8
"B45 8LQ",50,27,23,22
"B45 8LR",59,28,31,22
"B45 8LS",14,6,8,7
"B45 8LT",27,12,15,12
"B45 8LU",40,23,17,13
"B45 8LW",14,8,6,4
"B45 8LX",72,36,36,26
"B45 8LY",65,33,32,23
"B45 8LZ",21,10,11,8
"B45 8NA",34,18,16,16
"B45 8NB",6,3,3,3
"B45 8ND",36,15,21,14
"B45 8NE",27,9,18,19
"B45 8NF",47,21,26,23
"B45 8NG",18,8,10,8
"B45 8NH",54,27,27,22
"B45 8NJ",46,17,29,26
"B45 8NL",50,29,21,30
"B45 8NP",59,26,33,24
"B45 8NQ",29,14,15,14
"B45 8NR",50,23,27,18
"B45 8NS",72,40,32,28
"B45 8NT",10,4,6,3
"B45 8NU",80,39,41,27
"B45 8NW",13,6,7,5
"B45 8NX",62,30,32,28
"B45 8NY",29,15,14,21
"B45 8NZ",58,30,28,22
"B45 8PA",11,1,10,11
"B45 8PB",16,7,9,12
"B45 8PE",95,43,52,33
"B45 8PF",9,3,6,9
"B45 8PG",45,21,24,21
"B45 8PH",49,23,26,19
"B45 8PJ",57,29,28,23
"B45 8PL",75,41,34,31
"B45 8PN",52,25,27,21
"B45 8PP",26,13,13,11
"B45 8PQ",35,20,15,14
"B45 8PR",55,25,30,20
"B45 8PS",48,25,23,16
"B45 8PT",31,18,13,11
"B45 8PU",18,8,10,6
"B45 8PX",11,7,4,4
"B45 8PY",35,16,19,13
"B45 8PZ",2,1,1,1
"B45 8QA",15,9,6,7
"B45 8QB",12,5,7,7
"B45 8QE",85,42,43,36
"B45 8QF",133,69,64,43
"B45 8QG",111,60,51,43
"B45 8QH",23,11,12,10
"B45 8QJ",120,68,52,42
"B45 8QL",68,35,33,30
"B45 8QN",67,33,34,25
"B45 8QQ",49,26,23,21
"B45 8QR",62,28,34,21
"B45 8QS",106,44,62,45
"B45 8QT",73,34,39,30
"B45 8QU",133,63,70,55
"B45 8QW",6,3,3,3
"B45 8QX",25,9,16,11
"B45 8QY",71,36,35,32
"B45 8QZ",19,10,9,7
"B45 8RA",130,65,65,52
"B45 8RB",133,61,72,49
"B45 8RD",99,51,48,42
"B45 8RE",78,37,41,35
"B45 8RF",91,49,42,34
"B45 8RG",26,13,13,12
"B45 8RH",14,6,8,10
"B45 8RJ",125,58,67,40
"B45 8RL",108,54,54,48
"B45 8RN",167,84,83,68
"B45 8RP",11,5,6,5
"B45 8RQ",113,53,60,42
"B45 8RR",41,20,21,17
"B45 8RT",10,6,4,6
"B45 8RU",78,31,47,27
"B45 8RW",23,12,11,12
"B45 8RY",65,32,33,28
"B45 8RZ",53,24,29,24
"B45 8SA",7,4,3,3
"B45 8SB",22,12,10,10
"B45 8SD",18,10,8,8
"B45 8SE",45,23,22,17
"B45 8SF",11,5,6,5
"B45 8SG",32,13,19,16
"B45 8SJ",46,25,21,19
"B45 8SL",8,3,5,5
"B45 8SN",12,5,7,7
"B45 8SP",130,66,64,60
"B45 8SR",105,50,55,43
"B45 8SS",76,34,42,32
"B45 8ST",13,6,7,8
"B45 8SX",91,46,45,36
"B45 8SY",68,24,44,30
"B45 8SZ",12,6,6,5
"B45 8TA",46,19,27,25
"B45 8TB",38,19,19,13
"B45 8TE",58,29,29,24
"B45 8TF",59,32,27,24
"B45 8TG",56,27,29,24
"B45 8TH",27,16,11,15
"B45 8TJ",36,14,22,12
"B45 8TL",52,20,32,18
"B45 8TN",27,13,14,16
"B45 8TQ",59,33,26,22
"B45 8TS",20,12,8,7
"B45 8TT",44,22,22,23
"B45 8TU",51,25,26,23
"B45 8TW",163,79,84,55
"B45 8TX",67,33,34,29
"B45 8UA",8,6,2,5
"B45 8UB",40,21,19,13
"B45 8UD",28,13,15,10
"B45 8UF",10,5,5,4
"B45 8UG",17,8,9,7
"B45 8UN",4,2,2,3
"B45 8UQ",87,41,46,33
"B45 8UR",46,21,25,16
"B45 8US",48,23,25,36
"B45 8UT",12,6,6,4
"B45 8UU",48,25,23,19
"B45 8UX",2,1,1,1
"B45 8XA",31,18,13,12
"B45 8XB",11,6,5,5
"B45 8XH",7,3,4,4
"B45 8XJ",19,12,7,7
"B45 8XL",11,5,6,4
"B45 8XR",37,15,22,18
"B45 8XS",9,5,4,4
"B45 8XT",11,6,5,4
"B45 8XU",100,49,51,60
"B45 8XX",75,37,38,43
"B45 8XY",81,41,40,65
"B45 8XZ",63,37,26,38
"B45 9AA",9,3,6,3
"B45 9AB",1,0,1,1
"B45 9AD",9,6,3,3
"B45 9AE",3,1,2,1
"B45 9AF",5,4,1,2
"B45 9AL",2,1,1,1
"B45 9AS",5,3,2,2
"B45 9AT",11,6,5,4
"B45 9AU",82,44,38,33
"B45 9AY",205,96,109,77
"B45 9BE",3,3,0,0
"B45 9BH",6,3,3,2
"B45 9BJ",67,33,34,52
"B45 9BL",33,15,18,15
"B45 9BQ",60,30,30,23
"B45 9BS",52,28,24,19
"B45 9BU",67,30,37,26
"B45 9BX",43,15,28,26
"B45 9BY",136,65,71,53
"B45 9BZ",89,38,51,39
"B45 9DA",67,33,34,28
"B45 9DB",37,20,17,12
"B45 9DD",105,52,53,41
"B45 9DE",50,26,24,19
"B45 9DF",33,17,16,16
"B45 9DG",63,27,36,25
"B45 9DH",28,14,14,13
"B45 9DJ",67,32,35,25
"B45 9DL",12,5,7,5
"B45 9DN",5,1,4,2
"B45 9DP",73,29,44,40
"B45 9DQ",44,16,28,18
"B45 9DR",19,9,10,8
"B45 9DS",13,6,7,7
"B45 9DT",60,33,27,25
"B45 9DX",35,18,17,15
"B45 9DY",67,35,32,27
"B45 9EA",70,36,34,29
"B45 9EB",93,41,52,39
"B45 9ED",74,41,33,25
"B45 9EE",36,19,17,15
"B45 9EG",22,10,12,8
"B45 9EH",73,36,37,28
"B45 9EJ",57,28,29,24
"B45 9EL",71,39,32,22
"B45 9EP",83,43,40,27
"B45 9ER",107,47,60,35
"B45 9ES",73,34,39,33
"B45 9EU",73,31,42,28
"B45 9EX",63,32,31,24
"B45 9FD",58,27,31,18
"B45 9FF",73,39,34,26
"B45 9FH",75,39,36,35
"B45 9FP",2,0,2,1
"B45 9GB",25,13,12,11
"B45 9HA",72,39,33,27
"B45 9HB",15,9,6,4
"B45 9HD",39,20,19,18
"B45 9HE",83,43,40,32
"B45 9HG",28,11,17,11
"B45 9HH",81,41,40,30
"B45 9HJ",15,8,7,7
"B45 9HL",62,28,34,22
"B45 9HN",21,13,8,8
"B45 9HP",61,26,35,25
"B45 9HQ",14,6,8,6
"B45 9HR",27,16,11,12
"B45 9HT",15,8,7,11
"B45 9HU",30,16,14,12
"B45 9HW",59,38,21,23
"B45 9HX",20,8,12,12
"B45 9HY",51,26,25,21
"B45 9HZ",13,8,5,10
"B45 9JA",60,31,29,33
"B45 9JB",9,4,5,6
"B45 9JF",27,11,16,12
"B45 9JG",98,47,51,44
"B45 9JH",2,2,0,2
"B45 9JL",19,8,11,13
"B45 9JN",1,0,1,1
"B45 9JP",22,11,11,12
"B45 9JR",17,10,7,9
"B45 9JS",4,3,1,4
"B45 9JT",6,4,2,5
"B45 9JW",12,2,10,7
"B45 9JX",37,18,19,16
"B45 9JY",2,1,1,2
